wheelchair_accessible_entrance,wheelchair_accessible_parking,women_prayer_section,address,city,country_code,latitud,longituf,neighborhood,openinghours_0_day,openinghours_0_hours,openinghours_1_day,openinghours_1_hours,openinghours_2_day,openinghours_2_hours,openinghours_3_day,openinghours_3_hours,openinghours_4_day,openinghours_4_hours,openinghours_5_day,openingHours_5_hours,openinghours_6_day,openinghours_6_hours,phone,reviews_count,search_pageurl,,state,street,title,url_slug,image_name,total_score,url_google,website
TRUE,TRUE,FALSE,45B St - Al Satwa - Dubai - United Arab Emirates,Dubai,AE,25.219.578,552.747.006,Al Satwa,,,,,,,,,,,,,,,,248,"https://www.google.com/maps/search/Mosqu/@25.198130851664505,55.22625165000002,14z?hl=en",,Dubai,45B St,Obai Bin Kaab Mosque 54,obai-bin-kaab-mosque-54,obai-bin-kaab-mosque-54.jpg,4.8,https://www.google.com/maps/search/?api=1&query=Obai%20Bin%20Kaab%20Mosque%2054&query_place_id=ChIJmQpEmfRCXz4RQrsnf406kSQ,
TRUE,TRUE,FALSE,41st St - Al Satwa - Dubai - United Arab Emirates,Dubai,AE,252.224.484,55.270.857,Al Satwa,,,,,,,,,,,,,,,,299,"https://www.google.com/maps/search/Mosqu/@25.198130851664505,55.22625165000002,14z?hl=en",,Dubai,41st St,Khadri Mosque,khadri-mosque-islamabad-pakistan,khadri-mosque.jpg,4.6,https://www.google.com/maps/search/?api=1&query=Khadri%20Mosque&query_place_id=ChIJDQbfGfZCXz4Rcu83t8pq7GI,https://moovitapp.com/index/en/public_transit-Khadri_Mosque_Bus_Stop-Dubai_Abu_Dhabi-site_37323996-3824
,FALSE,FALSE,,Dubai,,,,,,,,,,,,,,,,,,,,,,,,,,mosque-alharam-makkah,,,,
TRUE,TRUE,FALSE,JVC - Dubai - United Arab Emirates,Dubai,AE,25.052.595,552.087.675,Jumeirah Village,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,,228,"https://www.google.com/maps/search/Mosqu/@25.07406684999999,55.15801460628913,14z?hl=en",,Dubai,JVC,JVC Masjid - Masjid Fatma Al Sayed Mohammad Yousuf Sharaf,jvc-masjid-fatma-al-sayed-mohammad-yousuf-sharaf,jvc-masjid-fatma-al-sayed-mohammad-yousuf-sharaf.jpg,4.9,https://www.google.com/maps/search/?api=1&query=JVC%20Masjid%20-%20Masjid%20Fatma%20Al%20Sayed%20Mohammad%20Yousuf%20Sharaf%20(%D9%85%D8%B3%D8%AC%D8%AF%20%D9%81%D8%A7%D8%B7%D9%85%D9%87%20%D8%A7%D9%84%D8%B3%D9%8A%D8%AF%20%D9%85%D8%AD%D9%85%D8%AF%20%D9%8A%D9%88%D8%B3%D9%81%20%D8%B4%D8%B1%D9%81)%E2%80%8E&query_place_id=ChIJI0ItpuxtXz4RVaTQb7MVhg8,
FALSE,FALSE,FALSE,36C6+CJC - Mu'allaqat، Mu'allaqat Blvd - Dubai - United Arab Emirates,Dubai,AE,250.710.607,552.115.009,Jumeirah Village,,,,,,,,,,,,,,,,165,"https://www.google.com/maps/search/Mosqu/@25.07406684999999,55.15801460628913,14z?hl=en",,Dubai,36C6+CJC - Mu'allaqat، Mu'allaqat Blvd,Masjid JVC,masjid-jvc-mosque,masjid-jvc.jpg,4.5,https://www.google.com/maps/search/?api=1&query=Masjid%20JVC&query_place_id=ChIJKX961jtsXz4RME9xHAfNxUM,
TRUE,TRUE,FALSE,51 33B St - Al Barsha - Al Barsha 3 - Dubai - United Arab Emirates,Dubai,AE,250.866.586,552.038.283,Al Barsha - Al Barsha 3,,,,,,,,,,,,,,,97146087777,74,"https://www.google.com/maps/search/Mosqu/@25.07406684999999,55.15801460628913,14z?hl=en",,Dubai,51 33B St,Al Ferdous Mosque,al-ferdous-mosque,al-ferdous-mosque.jpg,4.9,https://www.google.com/maps/search/?api=1&query=Al%20Ferdous%20Mosque&query_place_id=ChIJZTfX0nJsXz4RqqXwxPZ_eC0,
TRUE,TRUE,FALSE,3664+6R3 - JVC - Dubai - United Arab Emirates,Dubai,AE,25.060.502,552.070.388,Jumeirah Village,,,,,,,,,,,,,,,,242,"https://www.google.com/maps/search/Mosqu/@25.07406684999999,55.15801460628913,14z?hl=en",,Dubai,3664+6R3 - JVC,Saleh Mohammed Bin Lahej Mosque,saleh-mohammed-bin-lahej-mosque,saleh-mohammed-bin-lahej-mosque.jpg,4.9,https://www.google.com/maps/search/?api=1&query=Saleh%20Mohammed%20Bin%20Lahej%20Mosque&query_place_id=ChIJsfW7gSptXz4RThOKrSWjy0U,
TRUE,TRUE,FALSE,Third - 17 Al Leyiaan St - Jumeirah - Jumeirah 3 - Dubai - United Arab Emirates,Dubai,AE,251.786.061,552.217.949,Jumeirah - Jumeirah 3,,,,,,,,,,,,,,,"9,72E+16",22,"https://www.google.com/maps/search/Mosqu/@25.198130851664505,55.22625165000002,14z?hl=en",,Dubai,Third - 17 Al Leyiaan St,Jumeirah 3 Park 1 Mosque,jumeirah-3-park-1-mosque,jumeirah-3-park-1-mosque.jpg,4.8,https://www.google.com/maps/search/?api=1&query=Jumeirah%203%20Park%201%20Mosque&query_place_id=ChIJY19XFQFqXz4RDKdqIcRogjY,
TRUE,TRUE,FALSE,Third - 419 Jumeirah St - Jumeirah - Jumeirah 3 - Dubai - United Arab Emirates,Dubai,AE,25.191.111,552.329.902,Jumeirah - Jumeirah 3,,,,,,,,,,,,,,,,49,"https://www.google.com/maps/search/Mosqu/@25.198130851664505,55.22625165000002,14z?hl=en",,Dubai,Third - 419 Jumeirah St,Sheikh Mohamed Bin Rashed Al Maktoum Mosque,sheikh-mohamed-bin-rashed-al-maktoum-mosque,sheikh-mohamed-bin-rashed-al-maktoum-mosque.jpg,4.9,https://www.google.com/maps/search/?api=1&query=Sheikh%20Mohamed%20Bin%20Rashed%20Al%20Maktoum%20Mosque&query_place_id=ChIJ9Xn-IgRCXz4RUNJdQfesnsI,https://www.awqaf.gov.ae/
TRUE,TRUE,FALSE,518 Jumeirah St - Jumeirah - Jumeirah 3 - Dubai - United Arab Emirates,Dubai,AE,251.809.874,552.241.204,Jumeirah - Jumeirah 3,,,,,,,,,,,,,,,,11,"https://www.google.com/maps/search/Mosqu/@25.198130851664505,55.22625165000002,14z?hl=en",,Dubai,518 Jumeirah St,Masjid Belyouha,masjid-belyouha,masjid-belyouha.jpg,4.8,https://www.google.com/maps/search/?api=1&query=Masjid%20Belyouha&query_place_id=ChIJg3ZOEz1rXz4Rxf3Y2jZkbR0,
TRUE,TRUE,FALSE,51 10B St - Al Quoz - Al Quoz 1 - Dubai - United Arab Emirates,Dubai,AE,251.684.707,552.448.086,Al Quoz - Al Quoz 1,,,,,,,,,,,,,,,,42,"https://www.google.com/maps/search/Mosqu/@25.198130851664505,55.22625165000002,14z?hl=en",,Dubai,51 10B St,Saad Bin Abi Waqas Mosque,saad-bin-abi-waqas-mosque,saad-bin-abi-waqas-mosque.jpg,4.7,https://www.google.com/maps/search/?api=1&query=Saad%20Bin%20Abi%20Waqas%20Mosque&query_place_id=ChIJWwWMJetpXz4RSc5aVsYeuTA,
